,K25,K25 'Good',K25 'Good' + L600,Clustered,Clustered 'Good'
Complete Single-copy BUSCOs,759,762,744,824,884
Complete Duplicated BUSCOs,667,563,555,566,458
Total complete BUSCOs,1426,1325,1299,1390,1342
Fragmented BUSCOs,386,320,304,372,333
Missing BUSCOs,863,1030,1072,913,1000
Total BUSCO groups searched,2675,2675,2675,2675,2675
,,,,,
Duplicates,423,378,-,367,310
Triplicates,244,185,-,199,148
