assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/wrk/ketaya/assembly_filter/trinity.K25.good.fa,40122,201,21522,47523534,1184.4757,0,18101,16,16701,49.85219,593,1144,1710,2450,3853,0.39696,0.0092,0.002,1.7679,0,0,0.20447,10099252,6741259,0.6675,5861765,0.58042,879494,7925,1077621,0.02268,13151,0.32778,752,0.01874,10343,0.25779,970,0.02418,0.3749,0.4132,0.44422
/wrk/ketaya/assembly_filter/trinity.K25.good.L600.fa,26569,600,21522,42678840,1606.33972,0,18101,16,15860,48.95307,866,1334,1879,2602,3981,0.39828,0.00703,0.00114,1.77192,0,0,0.27009,10099252,6158429,0.60979,5425688,0.53724,732741,5489,1039983,0.02437,10463,0.3938,549,0.02066,5922,0.22289,534,0.0201,0.36849,0.38863,0.44012
/wrk/ketaya/assembly_filter/trinity.K25.L600.fa,36150,600,21569,54354429,1503.58033,0,21871,28,20807,49.19626,782,1222,1778,2540,3987,0.39926,0.00763,0.00245,1.77076,0,0,0.25495,10099252,6611960,0.6547,5779371,0.57226,832589,8402,5888936,0.10834,18103,0.50077,3581,0.09906,11504,0.31823,2559,0.07079,0.26863,0.39305,0.45943
/wrk/ketaya/cd-hit/transrate_results/trinity.all.nr95.renamed/good.trinity.all.nr95.renamed.fasta,47891,201,21569,51417044,1073.62644,0,18207,12,16874,48.50569,492,1025,1618,2400,3821,0.39436,0.01156,0.00332,1.75964,0,0,0.18619,10099252,7456624,0.73833,6499938,0.64361,956686,9761,1207553,0.02349,16012,0.33434,820,0.01712,12646,0.26406,1473,0.03076,0.39991,0.44633,0.44114
/wrk/ketaya/cd-hit/trinity.all.nr95.L600.renamed.fasta,36969,600,21569,54210125,1466.36709,0,21788,16,19762,47.35901,769,1190,1715,2457,3875,0.39657,0.00806,0.00283,1.76388,0,0,0.24879,10099252,7162744,0.70924,6295372,0.62335,867372,8152,4247852,0.07836,18632,0.50399,2990,0.08088,10994,0.29738,3343,0.09043,0.3018,0.4134,0.47412
