assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,gc_skew,at_skew,cpg_ratio,bases_n,proportion_n,linguistic_complexity,fragments,fragments_mapped,p_fragments_mapped,good_mappings,p_good_mapping,bad_mappings,potential_bridges,bases_uncovered,p_bases_uncovered,contigs_uncovbase,p_contigs_uncovbase,contigs_uncovered,p_contigs_uncovered,contigs_lowcovered,p_contigs_lowcovered,contigs_segmented,p_contigs_segmented,score,optimal_score,cutoff
/wrk/ketaya/transrate/trinity_20.fa,78037,201,10790,45031014,577.04696,0,11152,2,12984,55.25801,247,439,826,1434,2620,0.3923,0.01657,0.00695,1.74489,0,0,0.11107,10099252,8015942,0.79372,5789633,0.57327,2226309,32465,1295657,0.02877,25198,0.3229,4340,0.05561,19734,0.25288,17948,0.22999,0.07435,0.33707,0.43928
/wrk/ketaya/transrate/trinity_25.fa,115931,201,21569,79193347,683.1076,0,21871,28,23106,52.73138,261,567,1154,1992,3513,0.39359,0.01536,0.00542,1.74977,0,0,0.1248,10099252,8083366,0.80039,6424394,0.63613,1658972,42305,9958095,0.12574,63102,0.54431,19699,0.16992,51536,0.44454,26581,0.22928,0.05841,0.42087,0.51285
/wrk/ketaya/transrate/trinity_30.fa,115561,201,21376,78951148,683.1989,0,21946,10,23138,52.53403,262,567,1154,1968,3487,0.39306,0.01784,0.00628,1.74836,0,0,0.12468,10099252,8033788,0.79548,6410149,0.63472,1623639,42816,9825045,0.12444,62709,0.54265,20481,0.17723,51532,0.44593,26679,0.23087,0.0579,0.42076,0.51606
/wrk/ketaya/cd-hit/trinity.all.nr95.renamed.fasta,115917,201,21569,79123721,682.58945,0,21788,16,21936,51.02285,265,566,1121,1918,3405,0.39074,0.01681,0.00638,1.74243,0,0,0.12417,10099252,8527661,0.84439,7160612,0.70902,1367049,34351,9056431,0.11446,60269,0.51993,18130,0.15641,54069,0.46645,26426,0.22797,0.08598,0.45763,0.48061
